ticker,cik,name,sector,subsector
DDOG,0001561550,Datadog,Information Technology,Application Software
DE,0000315189,Deere & Company,Industrials,Agricultural & Farm Machinery
DECK,0000910521,Deckers Brands,Consumer Discretionary,Footwear
DELL,0001571996,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals"
DG,0000029534,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DGX,0001022079,Quest Diagnostics,Health Care,Health Care Services
DHI,0000882184,D. R. Horton,Consumer Discretionary,Homebuilding
DHR,0000313616,Danaher Corporation,Health Care,Life Sciences Tools & Services
DIS,0001744489,Walt Disney Company (The),Communication Services,Movies & Entertainment
DLR,0001297996,Digital Realty,Real Estate,Data Center REITs
DLTR,0000935703,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
DOC,0000765880,Healthpeak Properties,Real Estate,Health Care REITs
DOV,0000029905,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,0001751788,Dow Inc.,Materials,Commodity Chemicals
DPZ,0001286681,Domino's,Consumer Discretionary,Restaurants
DRI,0000940944,Darden Restaurants,Consumer Discretionary,Restaurants
DTE,0000936340,DTE Energy,Utilities,Multi-Utilities
DUK,0001326160,Duke Energy,Utilities,Electric Utilities
DVA,0000927066,DaVita,Health Care,Health Care Services
DVN,0001090012,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,0001093557,Dexcom,Health Care,Health Care Equipment
EBAY,0001065088,eBay Inc.,Consumer Discretionary,Broadline Retail
ECHO,0001415404,EchoStar,Communication Services,Wireless Telecommunication Services
ECL,0000031462,Ecolab,Materials,Specialty Chemicals
ED,0001047862,Consolidated Edison,Utilities,Multi-Utilities
EFX,0000033185,Equifax,Industrials,Research & Consulting Services
EG,0001095073,Everest Group,Financials,Reinsurance
EIX,0000827052,Edison International,Utilities,Electric Utilities
EL,0001001250,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
ELV,0001156039,Elevance Health,Health Care,Managed Health Care
EME,0000105634,Emcor,Industrials,Construction & Engineering
EMR,0000032604,Emerson Electric,Industrials,Electrical Components & Equipment
EOG,0000821189,EOG Resources,Energy,Oil & Gas Exploration & Production
EQIX,0001101239,Equinix,Real Estate,Data Center REITs
EQR,0000906107,Equity Residential,Real Estate,Multi-Family Residential REITs
EQT,0000033213,EQT Corporation,Energy,Oil & Gas Exploration & Production
ERIE,0000922621,Erie Indemnity,Financials,Insurance Brokers
ES,0000072741,Eversource Energy,Utilities,Electric Utilities
ESS,0000920522,Essex Property Trust,Real Estate,Multi-Family Residential REITs
ETN,0001551182,Eaton Corporation,Industrials,Electrical Components & Equipment
ETR,0000065984,Entergy,Utilities,Electric Utilities
EVRG,0001711269,Evergy,Utilities,Electric Utilities
EW,0001099800,Edwards Lifesciences,Health Care,Health Care Equipment
EXC,0001109357,Exelon,Utilities,Electric Utilities
EXE,0000895126,Expand Energy,Energy,Oil & Gas Exploration & Production
EXPD,0000746515,Expeditors International,Industrials,Air Freight & Logistics
EXPE,0001324424,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXR,0001289490,Extra Space Storage,Real Estate,Self-Storage REITs
F,0000037996,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FANG,0001539838,Diamondback Energy,Energy,Oil & Gas Exploration & Production
FAST,0000815556,Fastenal,Industrials,Trading Companies & Distributors
FCX,0000831259,Freeport-McMoRan,Materials,Copper
FDS,0001013237,FactSet,Financials,Financial Exchanges & Data
FDX,0001048911,FedEx,Industrials,Air Freight & Logistics
FDXF,0002082247,FedEx Freight,Industrials,Cargo Ground Transportation
FE,0001031296,FirstEnergy,Utilities,Electric Utilities
FERG,0002011641,Ferguson Enterprises,Industrials,Building Products
FFIV,0001048695,"F5, Inc.",Information Technology,Communications Equipment
FICO,0000814547,Fair Isaac,Information Technology,Application Software
FIS,0001136893,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
FISV,0000798354,Fiserv,Financials,Transaction & Payment Processing Services
FITB,0000035527,Fifth Third Bancorp,Financials,Regional Banks
FIX,0001035983,Comfort Systems USA,Industrials,Construction & Engineering
FLEX,0000866374,Flex Ltd.,Information Technology,Electronic Manufacturing Services
FOX,0001754301,Fox Corporation (Class B),Communication Services,Broadcasting
FOXA,0001754301,Fox Corporation (Class A),Communication Services,Broadcasting
FRT,0000034903,Federal Realty Investment Trust,Real Estate,Retail REITs
FSLR,0001274494,First Solar,Information Technology,Semiconductors
FTNT,0001262039,Fortinet,Information Technology,Systems Software
FTV,0001659166,Fortive,Industrials,Industrial Machinery & Supplies & Components
GD,0000040533,General Dynamics,Industrials,Aerospace & Defense
GDDY,0001609711,GoDaddy,Information Technology,Internet Services & Infrastructure
GE,0000040545,GE Aerospace,Industrials,Aerospace & Defense
GEHC,0001932393,GE HealthCare,Health Care,Health Care Equipment
GEN,0000849399,Gen Digital,Information Technology,Systems Software
GEV,0001996810,GE Vernova,Industrials,Heavy Electrical Equipment
GILD,0000882095,Gilead Sciences,Health Care,Biotechnology
GIS,0000040704,General Mills,Consumer Staples,Packaged Foods & Meats
GL,0000320335,Globe Life,Financials,Life & Health Insurance
GLW,0000024741,Corning Inc.,Information Technology,Electronic Components
GM,0001467858,General Motors,Consumer Discretionary,Automobile Manufacturers
GNRC,0001474735,Generac,Industrials,Heavy Electrical Equipment
GOOG,0001652044,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
GOOGL,0001652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GPC,0000040987,Genuine Parts Company,Consumer Discretionary,Distributors
GPN,0001123360,Global Payments,Financials,Transaction & Payment Processing Services
GRMN,0001121788,Garmin,Consumer Discretionary,Consumer Electronics
GS,0000886982,Goldman Sachs,Financials,Investment Banking & Brokerage
GWW,0000277135,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
HAL,0000045012,Halliburton,Energy,Oil & Gas Equipment & Services
HAS,0000046080,Hasbro,Consumer Discretionary,Leisure Products
HBAN,0000049196,Huntington Bancshares,Financials,Regional Banks
HCA,0000860730,HCA Healthcare,Health Care,Health Care Facilities
HD,0000354950,Home Depot (The),Consumer Discretionary,Home Improvement Retail
HIG,0000874766,Hartford (The),Financials,Property & Casualty Insurance
HII,0001501585,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HLT,0001585689,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HON,0000773840,Honeywell Technologies,Industrials,Industrial Conglomerates
HONA,0002089271,Honeywell Aerospace,Industrials,Aerospace & Defense
HOOD,0001783879,Robinhood Markets,Financials,Investment Banking & Brokerage
HPE,0001645590,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,0000047217,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HRL,0000048465,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HSIC,0001000228,Henry Schein,Health Care,Health Care Distributors
HST,0001070750,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HSY,0000047111,Hershey Company (The),Consumer Staples,Packaged Foods & Meats
HUBB,0000048898,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components
HUM,0000049071,Humana,Health Care,Managed Health Care
HWM,0000004281,Howmet Aerospace,Industrials,Aerospace & Defense
IBKR,0001381197,Interactive Brokers,Financials,Investment Banking & Brokerage
IBM,0000051143,IBM,Information Technology,IT Consulting & Other Services
ICE,0001571949,Intercontinental Exchange,Financials,Financial Exchanges & Data
IDXX,0000874716,Idexx Laboratories,Health Care,Health Care Equipment
IEX,0000832101,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IFF,0000051253,International Flavors & Fragrances,Materials,Specialty Chemicals
INCY,0000879169,Incyte,Health Care,Biotechnology
INTC,0000050863,Intel,Information Technology,Semiconductors
INTU,0000896878,Intuit,Information Technology,Application Software
INVH,0001687229,Invitation Homes,Real Estate,Single-Family Residential REITs
IP,0000051434,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IQV,0001478242,IQVIA,Health Care,Life Sciences Tools & Services
IR,0001699150,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IRM,0001020569,Iron Mountain,Real Estate,Other Specialized REITs
ISRG,0001035267,Intuitive Surgical,Health Care,Health Care Equipment
IT,0000749251,Gartner,Information Technology,IT Consulting & Other Services
ITW,0000049826,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
IVZ,0000914208,Invesco,Financials,Asset Management & Custody Banks
J,0000052988,Jacobs Solutions,Industrials,Construction & Engineering
JBHT,0000728535,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,0000898293,Jabil,Information Technology,Electronic Manufacturing Services
JCI,0000833444,Johnson Controls,Industrials,Building Products
JKHY,0000779152,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
JNJ,0000200406,Johnson & Johnson,Health Care,Pharmaceuticals
JPM,0000019617,JPMorgan Chase,Financials,Diversified Banks
KDP,0001418135,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,0000091576,KeyCorp,Financials,Regional Banks
KEYS,0001601046,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KHC,0001637459,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KIM,0000879101,Kimco Realty,Real Estate,Retail REITs
KKR,0001404912,KKR & Co.,Financials,Asset Management & Custody Banks
KLAC,0000319201,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KMB,0000055785,Kimberly-Clark,Consumer Staples,Household Products
KMI,0001506307,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KO,0000021344,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KR,0000056873,Kroger,Consumer Staples,Food Retail
KVUE,0001944048,Kenvue,Consumer Staples,Personal Care Products
L,0000060086,Loews Corporation,Financials,Multi-line Insurance
LDOS,0001336920,Leidos,Industrials,Diversified Support Services
LEN,0000920760,Lennar,Consumer Discretionary,Homebuilding
LH,0000920148,Labcorp,Health Care,Health Care Services
LHX,0000202058,L3Harris,Industrials,Aerospace & Defense
LII,0001069202,Lennox International,Industrials,Building Products
LIN,0001707925,Linde plc,Materials,Industrial Gases
LITE,0001633978,Lumentum,Information Technology,Communications Equipment
LLY,0000059478,Lilly (Eli),Health Care,Pharmaceuticals
LMT,0000936468,Lockheed Martin,Industrials,Aerospace & Defense
LNT,0000352541,Alliant Energy,Utilities,Electric Utilities
LOW,0000060667,Lowe's,Consumer Discretionary,Home Improvement Retail
LRCX,0000707549,Lam Research,Information Technology,Semiconductor Materials & Equipment
LULU,0001397187,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LUV,0000092380,Southwest Airlines,Industrials,Passenger Airlines
LVS,0001300514,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LYB,0001489393,LyondellBasell,Materials,Specialty Chemicals
LYV,0001335258,Live Nation Entertainment,Communication Services,Movies & Entertainment
MA,0001141391,Mastercard,Financials,Transaction & Payment Processing Services
MAA,0000912595,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
MAR,0001048286,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MAS,0000062996,Masco,Industrials,Building Products
MCD,0000063908,McDonald's,Consumer Discretionary,Restaurants
MCHP,0000827054,Microchip Technology,Information Technology,Semiconductors
MCK,0000927653,McKesson Corporation,Health Care,Health Care Distributors
MCO,0001059556,Moody's Corporation,Financials,Financial Exchanges & Data
MDLZ,0001103982,Mondelez International,Consumer Staples,Packaged Foods & Meats
MDT,0001613103,Medtronic,Health Care,Health Care Equipment
MET,0001099219,MetLife,Financials,Life & Health Insurance
META,0001326801,Meta Platforms,Communication Services,Interactive Media & Services
MGM,0000789570,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MKC,0000063754,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MLM,0000916076,Martin Marietta Materials,Materials,Construction Materials
MMM,0000066740,3M,Industrials,Industrial Conglomerates
MNST,0000865752,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MO,0000764180,Altria,Consumer Staples,Tobacco
MOS,0001285785,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MPC,0001510295,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MPWR,0001280452,Monolithic Power Systems,Information Technology,Semiconductors
MRK,0000310158,Merck & Co.,Health Care,Pharmaceuticals
MRNA,0001682852,Moderna,Health Care,Biotechnology
MRSH,0000062709,Marsh McLennan,Financials,Insurance Brokers
MRVL,0001835632,Marvell Technology,Information Technology,Semiconductors
MS,0000895421,Morgan Stanley,Financials,Investment Banking & Brokerage
MSCI,0001408198,MSCI,Financials,Financial Exchanges & Data
MSFT,0000789019,Microsoft,Information Technology,Systems Software
MSI,0000068505,Motorola Solutions,Information Technology,Communications Equipment
MTB,0000036270,M&T Bank,Financials,Regional Banks
MTD,0001037646,Mettler Toledo,Health Care,Life Sciences Tools & Services
MU,0000723125,Micron Technology,Information Technology,Semiconductors
NCLH,0001513761,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NDAQ,0001120193,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
NDSN,0000072331,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NEE,0000753308,NextEra Energy,Utilities,Multi-Utilities
NEM,0001164727,Newmont,Materials,Gold
NFLX,0001065280,Netflix,Communication Services,Movies & Entertainment
NI,0001111711,NiSource,Utilities,Multi-Utilities
NKE,0000320187,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NOC,0001133421,Northrop Grumman,Industrials,Aerospace & Defense
NOW,0001373715,ServiceNow,Information Technology,Systems Software
NRG,0001013871,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NSC,0000702165,Norfolk Southern,Industrials,Rail Transportation
NTAP,0001002047,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NTRS,0000073124,Northern Trust,Financials,Asset Management & Custody Banks
NUE,0000073309,Nucor,Materials,Steel
NVDA,0001045810,Nvidia,Information Technology,Semiconductors
NVR,0000906163,"NVR, Inc.",Consumer Discretionary,Homebuilding
NWS,0001564708,News Corp (Class B),Communication Services,Publishing
NWSA,0001564708,News Corp (Class A),Communication Services,Publishing
NXPI,0001413447,NXP Semiconductors,Information Technology,Semiconductors
O,0000726728,Realty Income,Real Estate,Retail REITs
ODFL,0000878927,Old Dominion,Industrials,Cargo Ground Transportation
OKE,0001039684,Oneok,Energy,Oil & Gas Storage & Transportation
OMC,0000029989,Omnicom Group,Communication Services,Advertising
ON,0001097864,ON Semiconductor,Information Technology,Semiconductors
ORCL,0001341439,Oracle Corporation,Information Technology,Application Software
ORLY,0000898173,O'Reilly Automotive,Consumer Discretionary,Automotive Retail
OTIS,0001781335,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
OXY,0000797468,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
PANW,0001327567,Palo Alto Networks,Information Technology,Systems Software
PAYX,0000723531,Paychex,Industrials,Human Resource & Employment Services
PCAR,0000075362,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PCG,0001004980,PG&E Corporation,Utilities,Multi-Utilities
PEG,0000788784,Public Service Enterprise Group,Utilities,Electric Utilities
PEP,0000077476,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,0000078003,Pfizer,Health Care,Pharmaceuticals
PFG,0001126328,Principal Financial Group,Financials,Life & Health Insurance
PG,0000080424,Procter & Gamble,Consumer Staples,Personal Care Products
PGR,0000080661,Progressive Corporation,Financials,Property & Casualty Insurance
PH,0000076334,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PHM,0000822416,PulteGroup,Consumer Discretionary,Homebuilding
PKG,0000075677,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PLD,0001045609,Prologis,Real Estate,Industrial REITs
PLTR,0001321655,Palantir Technologies,Information Technology,Application Software
PM,0001413329,Philip Morris International,Consumer Staples,Tobacco
PNC,0000713676,PNC Financial Services,Financials,Diversified Banks
PNR,0000077360,Pentair,Industrials,Industrial Machinery & Supplies & Components
PNW,0000764622,Pinnacle West Capital,Utilities,Multi-Utilities
PODD,0001145197,Insulet Corporation,Health Care,Health Care Equipment
PPG,0000079879,PPG Industries,Materials,Specialty Chemicals
PPL,0000922224,PPL Corporation,Utilities,Electric Utilities
PRU,0001137774,Prudential Financial,Financials,Life & Health Insurance
PSA,0001393311,Public Storage,Real Estate,Self-Storage REITs
PSKY,0002041610,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
PSX,0001534701,Phillips 66,Energy,Oil & Gas Refining & Marketing
PTC,0000857005,PTC Inc.,Information Technology,Application Software
PWR,0001050915,Quanta Services,Industrials,Construction & Engineering
PYPL,0001633917,PayPal,Financials,Transaction & Payment Processing Services
Q,0002058873,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment
QCOM,0000804328,Qualcomm,Information Technology,Semiconductors
RCL,0000884887,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
REG,0000910606,Regency Centers,Real Estate,Retail REITs
REGN,0000872589,Regeneron Pharmaceuticals,Health Care,Biotechnology
RF,0001281761,Regions Financial Corporation,Financials,Regional Banks
RJF,0000720005,Raymond James Financial,Financials,Investment Banking & Brokerage
RL,0001037038,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RMD,0000943819,ResMed|,Health Care,Health Care Equipment
ROK,0001024478,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,0000084839,"Rollins, Inc.",Industrials,Environmental & Facilities Services
ROP,0000882835,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,0000745732,Ross Stores,Consumer Discretionary,Apparel Retail
RSG,0001060391,Republic Services,Industrials,Environmental & Facilities Services
RTX,0000101829,RTX Corporation,Industrials,Aerospace & Defense
RVTY,0000031791,Revvity,Health Care,Health Care Equipment
SBAC,0001034054,SBA Communications,Real Estate,Telecom Tower REITs
SBUX,0000829224,Starbucks,Consumer Discretionary,Restaurants
SCHW,0000316709,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
SHW,0000089800,Sherwin-Williams,Materials,Specialty Chemicals
SJM,0000091419,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SLB,0000087347,Schlumberger,Energy,Oil & Gas Equipment & Services
SMCI,0001375365,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals"
SNA,0000091440,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SNDK,0002023554,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals"
SNPS,0000883241,Synopsys,Information Technology,Application Software
SO,0000092122,Southern Company,Utilities,Electric Utilities
SOLV,0001964738,Solventum,Health Care,Health Care Technology
SPG,0001063761,Simon Property Group,Real Estate,Retail REITs
SPGI,0000064040,S&P Global,Financials,Financial Exchanges & Data
SRE,0001032208,Sempra,Utilities,Multi-Utilities
STE,0001757898,Steris,Health Care,Health Care Equipment
STLD,0001022671,Steel Dynamics,Materials,Steel
STT,0000093751,State Street Corporation,Financials,Asset Management & Custody Banks
STX,0001137789,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
STZ,0000016918,Constellation Brands,Consumer Staples,Distillers & Vintners
