ticker,cik,name,sector,subsector,valuation_price,price_date,price_observations,price_status,price_reason,filing_date,period_end,revenue_ttm,operating_income_ttm,net_income_ttm,free_cash_flow_ttm,cash_and_equivalents,total_debt,stockholders_equity,shares_outstanding,market_cap,net_debt,enterprise_value,earnings_yield,free_cash_flow_yield,price_to_earnings,price_to_fcf,ev_to_operating_income,operating_margin,five_year_revenue_growth,positive_fcf_years,historical_fcf_years,net_debt_to_fcf,price_to_book,five_year_median_fcf,historical_net_income_years,five_year_median_net_income,calculation_status,calculation_warnings,snapshot_source_url,price_source_url
ADP,0000008670,Automatic Data Processing,Industrials,Human Resource & Employment Services,272.24,2026-08-14,5,ok,,2026-08-05,2026-07-31,21947400000.0,,4413500000.0,,4230100000.0,4965100000.0,6031200000.0,397262737.0,108150807520.88,735000000,108885807520.88,0.0408087567829571,,24.5045445838631,,,,0.0739531455291087,,0,,17.9318887652341,,5,3752000000,partial,missing_operating_income_ttm;missing_free_cash_flow_ttm;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0000008670.json,https://hfdatalibrary.com/pages/data
ADSK,0000769397,Autodesk,Information Technology,Application Software,251.68,2026-08-14,5,ok,,2026-05-29,2026-05-21,6347000000.0,1288000000.0,1431700000.0,1636000000.0,2671000000.0,2500000000.0,3189000000.0,211000000.0,53104480000,-171000000,52933480000,0.0269600606201209,0.0308071936680295,37.0919047286443,32.4599511002445,41.0974223602484,0.202930518355128,0.132153466645058,5,5,-0.104523227383863,16.652392599561,1567000000,5,906000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000769397.json,https://hfdatalibrary.com/pages/data
AEE,0001002910,Ameren,Utilities,Multi-Utilities,108.64,2026-08-14,5,ok,,2026-08-03,2026-07-30,8432000000.0,1625000000.0,1232000000.0,-1550000000.0,12000000.0,20588000000.0,13687000000.0,276843251.0,30076250788.64,20576000000,50652250788.64,0.0409625524357356,-0.0515356787949596,24.4125412245455,,31.1706158699323,0.192718216318786,0.0830897844034677,0,5,,2.19743192727698,-1088000000,5,1157000000,partial,nonpositive_free_cash_flow_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001002910.json,https://hfdatalibrary.com/pages/data
AEP,0000004904,American Electric Power,Utilities,Electric Utilities,124.54,2026-08-14,5,ok,,2026-05-05,2026-05-05,20516000000.0,4415400000.0,3183800000.0,6663900000.0,306000000.0,49554000000.0,31808000000.0,544104955.0,67762831095.7,49248000000,117010831095.7,0.0469844596000363,0.0983415228119486,21.2836331100258,10.1686446518855,26.5006185386828,0.215217391304348,0.0662247550725155,3,3,7.39026696078873,2.13037069591612,4857000000,5,2488100000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004904.json,https://hfdatalibrary.com/pages/data
AES,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,14.73,2026-08-14,5,ok,,2026-08-04,2026-07-31,12032000000.0,,148000000.0,-2551000000.0,1800000000.0,,4942000000.0,713438630.0,10508951019.9,,,0.0140832324482,-0.242745445779447,71.0064258101351,,,,0.0236511812151698,0,5,,2.12645710641441,-1836000000,5,-182000000,partial,missing_operating_income_ttm;nonpositive_free_cash_flow_ttm;missing_total_debt,https://data.sec.gov/api/xbrl/companyfacts/CIK0000874761.json,https://hfdatalibrary.com/pages/data
AFL,0000004977,Aflac,Financials,Life & Health Insurance,121.28,2026-08-14,5,ok,,2026-08-07,2026-07-28,15910000000.0,4401000000.0,2437000000.0,,6120000000.0,,30312000000.0,501343298.0,60802915181.44,,,0.0400803151087054,,24.9499036444153,,,0.27661847894406,-0.0553451370849792,,0,,2.00590245386118,,5,4418000000,partial,missing_free_cash_flow_ttm;missing_total_debt;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004977.json,https://hfdatalibrary.com/pages/data
AIG,0000005272,American International Group,Financials,Multi-line Insurance,76.635,2026-08-14,5,ok,,2026-08-07,2026-07-31,27802000000.0,,3200000000.0,2919000000.0,1565000000.0,9191000000.0,40606000000.0,522893169.0,40071918006.315,7626000000,47697918006.315,0.0798564221332182,0.072844030064645,12.5224743769734,13.7279609476927,,,-0.153541431537026,3,3,2.61253854059609,0.986847214852854,5880000000,5,3878000000,partial,missing_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000005272.json,https://hfdatalibrary.com/pages/data
AIZ,0001267238,Assurant,Financials,Multi-line Insurance,282.08,2026-08-14,5,ok,,2026-08-06,2026-07-31,12304900000.0,,276600000.0,968800000.0,1698700000.0,2207500000.0,6097900000.0,49323767.0,13913248195.36,508800000,14422048195.36,0.0198803324799629,0.0696314754395807,50.3009696144613,14.361321423782,,,0.0590226267333225,5,5,0.525185796862097,2.28164584453008,935600000,5,760200000,partial,missing_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001267238.json,https://hfdatalibrary.com/pages/data
AJG,0000354190,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,253.595,2026-08-14,5,ok,,2026-08-05,2026-06-30,12471900000.0,,1649900000.0,1965600000.0,738400000.0,12873000000.0,23717000000.0,256300000.0,64996398500,12134600000,77130998500,0.0253844834187236,0.0302416756214577,39.394144190557,33.0669508038258,,,0.141569178323009,,0,6.17348392348392,2.74049831344605,,5,1116000000,partial,missing_operating_income_ttm;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354190.json,https://hfdatalibrary.com/pages/data
AKAM,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,122.775,2026-08-14,5,ok,,2026-08-07,2026-08-03,2372617000.0,524741000.0,424601000.0,977679000.0,1480257000.0,,4748517000.0,143716609.0,17644806669.975,,,0.0240637944037389,0.0554088813941867,41.556206108735,18.0476482260282,,0.221165489415274,,5,5,,3.71585627048929,1033410000,5,523672000,partial,missing_total_debt;insufficient_revenue_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0001086222.json,https://hfdatalibrary.com/pages/data
ALB,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,130.45,2026-08-14,5,ok,,2026-08-05,2026-07-29,4993278000.0,-1037140000.0,-891039000.0,-187280000.0,1631688000.0,1876784000.0,10275169000.0,118005057.0,15393759685.65,245096000,15638855685.65,-0.0578831304499721,-0.0121659687967314,,,,-0.207707241615628,0.114944109653656,2,5,,1.49815148399506,-609410000,5,199942000,partial,nonpositive_operating_income_ttm;nonpositive_net_income_ttm;nonpositive_free_cash_flow_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000915913.json,https://hfdatalibrary.com/pages/data
ALGN,0001097149,Align Technology,Health Care,Health Care Supplies,175.845,2026-08-14,5,ok,,2026-08-05,2026-07-31,3964802000.0,600580000.0,437608000.0,631537000.0,1102591000.0,,4232453000.0,71039852.0,12492002774.94,,,0.0350310520966164,0.050555304171635,28.546102390587,19.7803181364512,,0.151477930045435,0.00517017293754418,5,5,,2.95148056574757,608060000,5,421362000,partial,missing_total_debt,https://data.sec.gov/api/xbrl/companyfacts/CIK0001097149.json,https://hfdatalibrary.com/pages/data
ALL,0000899051,Allstate,Financials,Property & Casualty Insurance,261.3,2026-08-14,5,ok,,2026-08-05,2026-07-16,66218000000.0,,5749000000.0,8539000000.0,840000000.0,7492000000.0,33698000000.0,252857950.0,66071782335,6652000000,72723782335,0.0870114260101411,0.12923822694392,11.4927434919116,7.7376487100363,,,0.0754313311472641,5,5,0.779013936058086,1.96070337512612,4771000000,5,1581000000,partial,missing_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000899051.json,https://hfdatalibrary.com/pages/data
ALLE,0001579241,Allegion,Industrials,Building Products,166.25,2026-08-14,5,ok,,2026-07-23,2026-07-20,3876600000.0,815700000.0,626200000.0,673000000.0,356200000.0,2031100000.0,1318300000.0,85036786.0,14137365672.5,1674900000,15812265672.5,0.0442939663941836,0.0476043426753203,22.5764383144363,21.0064868833581,19.3849033621429,0.210416344219161,0.0913239898117424,5,5,2.4887072808321,10.7239366399909,516400000,5,540600000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001579241.json,https://hfdatalibrary.com/pages/data
AMAT,0000006951,Applied Materials,Information Technology,Semiconductor Materials & Equipment,525.23,2026-08-14,5,ok,,2026-05-21,2026-04-26,28089000000.0,8332000000.0,6758000000.0,5861000000.0,6301000000.0,6455000000.0,23909000000.0,793959430.0,417011311418.9,154000000,417165311418.9,0.0162057954183679,0.0140547746296322,61.7063201270938,71.1501981605357,50.0678482259842,0.296628573462921,0.0533069708627316,5,5,0.0262753796280498,17.4416040578401,5698000000,5,6856000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,https://hfdatalibrary.com/pages/data
AMCR,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,46.59,2026-08-14,5,ok,,2026-08-14,2026-08-12,23506000000.0,1899000000.0,1106000000.0,1818800000.0,1115000000.0,5314400000.0,11790000000.0,462345690.0,21540685697.1,4199400000,25740085697.1,0.0513446979150204,0.0844355665170335,19.4762076827306,11.8433503942709,13.5545474971564,0.0807878839445248,0.127515825376711,5,5,2.3088849791071,1.82703016938931,829000000,5,815000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001748790.json,https://hfdatalibrary.com/pages/data
AMD,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,482.845,2026-08-14,5,ok,,2026-08-05,2026-07-29,29600000000.0,2267000000.0,1043000000.0,4043000000.0,5086000000.0,2351000000.0,67224000000.0,1632475042.0,788232411654.49,-2735000000,785497411654.49,0.00132321379402651,0.00512919786121684,755.73577339836,194.962258633314,346.492021020948,0.0765878378378378,0.204600905153036,5,5,-0.67647786297304,11.7254613181972,3115000000,5,1641000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,https://hfdatalibrary.com/pages/data
AME,0001037868,Ametek,Industrials,Electrical Components & Equipment,256.1,2026-08-14,5,ok,,2026-08-04,2026-07-28,6980193000.0,1831287000.0,1437623000.0,1683475000.0,495446000.0,2036174000.0,11260763000.0,229261244.0,58713804588.4,1540728000,60254532588.4,0.0244852639013625,0.0286725585541871,40.8408912408886,34.8765527188702,32.9028342299159,0.262354780161523,,5,5,0.915206938029968,5.21401654474035,1599047000,5,1313188000,partial,insufficient_revenue_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0001037868.json,https://hfdatalibrary.com/pages/data
AMGN,0000318154,Amgen,Health Care,Biotechnology,416.37,2026-08-14,5,ok,,2026-08-05,2026-07-30,34917000000.0,8192000000.0,6619000000.0,10605000000.0,13989000000.0,53858000000.0,11688000000.0,540632005.0,225102947921.85,39869000000,264971947921.85,0.0294043239375876,0.047111777512935,34.0086037047666,21.226114844116,32.345208486554,0.234613512042844,0.0905884887913233,5,5,3.75945308816596,19.2593213485498,8381000000,5,6552000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000318154.json,https://hfdatalibrary.com/pages/data
AMP,0000820027,Ameriprise Financial,Financials,Asset Management & Custody Banks,565,2026-08-14,5,ok,,2026-08-04,2026-07-24,9108000000.0,,2760000000.0,6700000000.0,2318000000.0,2684000000.0,6366000000.0,88333219.0,49908268735,366000000,50274268735,0.0553014574529701,0.13424629164308,18.0827060634058,7.44899533358209,,,0.0901614446351562,5,5,0.0546268656716418,7.83981601240968,4501000000,5,3401000000,partial,missing_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820027.json,https://hfdatalibrary.com/pages/data
AMT,0001053507,American Tower,Real Estate,Telecom Tower REITs,170.47,2026-08-14,5,ok,,2026-04-28,2026-04-21,827600000.0,4629600000.0,1857100000.0,3777500000.0,1608800000.0,19266260000.0,3522600000.0,465893069.0,79420791472.43,17657460000,97078251472.43,0.0233830457436913,0.0475631120008583,42.766028470427,21.0246966174533,20.9690365198786,5.59400676655389,0.0688006228591322,5,5,4.67437723362012,22.5460715018537,3443200000,5,2280200000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001053507.json,https://hfdatalibrary.com/pages/data
AMZN,0001018724,Amazon,Consumer Discretionary,Broadline Retail,268.67,2026-08-14,5,ok,,2026-07-31,2026-07-22,670038000000.0,76190000000.0,70623000000.0,116240000000.0,78213000000.0,132224000000.0,551620000000.0,10786313572.0,2897958867389.24,54011000000,2951969867389.24,0.0243699111104444,0.0401109902932198,41.0342079406035,24.9308230160809,38.7448466647754,0.113709968688343,0.111434824265392,3,5,0.464650722642808,5.25354205320554,7695000000,5,33364000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,https://hfdatalibrary.com/pages/data
ANET,0001596532,Arista Networks,Information Technology,Communications Equipment,198.81,2026-08-14,5,ok,,2026-08-05,2026-07-30,7950900000.0,3429900000.0,3251600000.0,3991649000.0,2290200000.0,98793000.0,14797700000.0,1261224648.0,250744072268.88,-2191407000,248552665268.88,0.0129678040664236,0.0159192158118882,77.1140583924468,62.8171646026191,72.466446622024,0.431385126212127,0.322037111966714,5,5,-0.548997920408332,16.9448003587639,1999600000,5,2087300000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001596532.json,https://hfdatalibrary.com/pages/data
AON,0000315293,Aon plc,Financials,Insurance Brokers,356.4,2026-08-14,5,ok,,2026-07-29,2026-07-28,16752000000.0,4034000000.0,2665000000.0,2912000000.0,1062000000.0,14967000000.0,9598000000.0,212125434.0,75601504677.6,13905000000,89506504677.6,0.0352506211531741,0.0385177518942,28.3682944381238,25.9620551777473,22.1880279319782,0.240807067812798,0.0895162233094236,5,5,4.77506868131868,7.8767977367785,3023000000,5,2646000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000315293.json,https://hfdatalibrary.com/pages/data
AOS,0000091142,A. O. Smith,Industrials,Building Products,62.53,2026-08-14,5,ok,,2026-07-30,2026-06-30,3790200000.0,695800000.0,185100000.0,494600000.0,181300000.0,637500000.0,1841900000.0,75732188.0,4735533715.64,456200000,5191733715.64,0.0390874632332723,0.104444404728128,25.5836505437061,9.57447172591994,7.46153164075884,0.183578702970819,0.0199716809394908,5,5,0.922361504245855,2.57100478616646,546000000,5,533600000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000091142.json,https://hfdatalibrary.com/pages/data
APA,0001841666,APA Corporation,Energy,Oil & Gas Exploration & Production,40.48,2026-08-14,5,ok,,2026-08-06,2026-07-31,,2378000000.0,1369000000.0,,444000000.0,8715000000.0,7021000000.0,350351510.0,14182229124.8,8271000000,22453229124.8,0.096529254178109,,10.3595537799854,,9.44206439226241,,,,0,,2.01997281367327,,5,1692000000,partial,missing_revenue_ttm;missing_free_cash_flow_ttm;insufficient_revenue_history;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0001841666.json,https://hfdatalibrary.com/pages/data
APD,0000002969,Air Products,Materials,Industrial Gases,307.48,2026-08-14,5,ok,,2026-07-30,2026-06-30,12057900000.0,1530600000.0,1586500000.0,-6521000000.0,980500000.0,3782600000.0,13883800000.0,222685530.0,68471346764.4,2802100000,71273446764.4,0.0231702759616941,-0.0952369174574266,43.1587436271037,,46.56569107827,0.126937526434951,0.039155275488868,2,5,,4.93174395802302,-1420700000,5,2266500000,partial,nonpositive_free_cash_flow_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002969.json,https://hfdatalibrary.com/pages/data
APH,0000820313,Amphenol,Information Technology,Electronic Components,167.53,2026-08-14,5,ok,,2026-07-31,2026-07-28,18818000000.0,4216800000.0,3205800000.0,2817300000.0,4729400000.0,3239300000.0,15491600000.0,1232983457.0,206561718551.21,-1490100000,205071618551.21,0.0155198166556947,0.0136390228536056,64.4337508737944,73.3190354421645,48.6320476549066,0.224083324476565,0.207135738731721,5,5,-0.528910659141731,13.3337885403193,2149300000,5,1945500000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820313.json,https://hfdatalibrary.com/pages/data
APO,0001858681,Apollo Global Management,Financials,Asset Management & Custody Banks,140.24,2026-08-14,5,ok,,2026-08-10,2026-08-05,25418000000.0,,5211000000.0,,12070000000.0,13727000000.0,21006000000.0,590543159.0,82817772618.16,1657000000,84474772618.16,0.062921276861983,,15.8928751905891,,,,0.523359409589625,,0,,3.94257700743407,,5,5401000000,partial,missing_operating_income_ttm;missing_free_cash_flow_ttm;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0001858681.json,https://hfdatalibrary.com/pages/data
APP,0001751008,AppLovin,Communication Services,Advertising,,,,excluded,ticker_unavailable,2026-08-05,2026-06-30,4252401000.0,2960297000.0,597412000.0,2850867000.0,3053306000.0,3515072000.0,3163016000.0,,,,,,,,,,,,,,,,,,,excluded,ticker_unavailable,https://data.sec.gov/api/xbrl/companyfacts/CIK0001751008.json,
APTV,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,49.565,2026-08-14,5,ok,,2026-08-04,2026-07-31,15947000000.0,1596000000.0,1029000000.0,1498000000.0,761000000.0,7653000000.0,8753000000.0,207633331.0,10291346051.015,6892000000,17183346051.015,0.0999869205543344,0.145559190466854,10.0013081156608,6.87005744393525,10.7665075507613,0.100081520035116,0.0690301330246661,5,5,4.60080106809079,1.17575071986919,990000000,5,609000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001521332.json,https://hfdatalibrary.com/pages/data
ARE,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs,48.21,2026-08-14,5,ok,,2026-08-03,2026-07-15,,,173981000.0,,470449000.0,12812874000.0,15553976000.0,174247570.0,8400475349.7,12342425000,20742900349.7,0.0207108517979537,,48.2838663400026,,,,,,0,,0.540085400009618,,5,510733000,partial,missing_revenue_ttm;missing_operating_income_ttm;missing_free_cash_flow_ttm;insufficient_revenue_history;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0001035443.json,https://hfdatalibrary.com/pages/data
ARES,0001176948,Ares Management,Financials,Asset Management & Custody Banks,,,,excluded,ticker_unavailable,2026-08-07,2026-06-30,4827669000.0,,1010075000.0,4040422000.0,152203000.0,202869000.0,3968073000.0,103332418.0,,,,,,,,,,,,,,,,,,excluded,ticker_unavailable,https://data.sec.gov/api/xbrl/companyfacts/CIK0001176948.json,
ATO,0000731802,Atmos Energy,Utilities,Gas Utilities,169.58,2026-08-14,5,ok,,2026-08-05,2026-07-31,4623219000.0,1525486000.0,-30070000.0,-1373760000.0,520953000.0,3529452000.0,15258058000.0,168988553.0,28657078817.74,3008499000,31665577817.74,-0.00104930443857332,-0.0479378937656961,,,20.7576980829323,0.329961872885537,0.0838738107196406,1,5,,1.87816030177235,-1466836000,5,885862000,partial,nonpositive_net_income_ttm;nonpositive_free_cash_flow_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000731802.json,https://hfdatalibrary.com/pages/data
AVB,0000915912,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,183.83,2026-08-14,5,ok,,2026-07-30,2026-07-24,6792000.0,1956186000.0,1161063000.0,1603431000.0,80682000.0,9024780000.0,12022411000.0,142797963.0,26250549538.29,8944098000,35194647538.29,0.0442300454817691,0.0610818069793616,22.6090656047863,16.371486854308,17.9914627434661,288.013250883392,0.229259496512346,,0,5.57809971242916,2.18346798643716,,5,1056599000,partial,insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0000915912.json,https://hfdatalibrary.com/pages/data
AVGO,0001730168,Broadcom,Information Technology,Semiconductors,415.51,2026-08-14,5,ok,,2026-06-09,2026-05-29,57046000000.0,20504000000.0,12917000000.0,22697000000.0,19628000000.0,64907000000.0,24941000000.0,4757580198.0,1976822148070.98,45279000000,2022101148070.98,0.00653422464565396,0.0114815589364719,153.040345906246,87.0961866357219,98.6198374985847,0.359429232549171,0.234781951830257,5,5,1.99493325109045,79.2599393797755,17633000000,5,11495000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001730168.json,https://hfdatalibrary.com/pages/data
AVY,0000008818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,179.715,2026-08-14,5,ok,,2026-08-04,2026-08-01,8737900000.0,,748900000.0,635300000.0,227300000.0,1454700000.0,2322800000.0,75788142.0,13620265939.53,1227400000,14847665939.53,0.0549842421084065,0.0466437294852058,18.1870288950861,21.4391089871399,,,0.0130478523574986,5,5,1.9320006296238,5.86372737193473,712400000,5,704900000,partial,missing_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000008818.json,https://hfdatalibrary.com/pages/data
AWK,0001410636,American Water Works,Utilities,Water Utilities,136.04,2026-08-14,5,ok,,2026-07-29,2026-07-20,4912000000.0,1803000000.0,632000000.0,-908000000.0,191000000.0,5596229000.0,11665000000.0,198728989.0,27035091663.56,5405229000,32440320663.56,0.0233770244933868,-0.0335859782278406,42.7770437714557,,17.9924130136217,0.367060260586319,0.0695051726616089,0,5,,2.31762466039949,-811000000,5,1051000000,partial,nonpositive_free_cash_flow_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001410636.json,https://hfdatalibrary.com/pages/data
AXON,0001069183,Axon Enterprise,Industrials,Aerospace & Defense,613.15,2026-08-14,5,ok,,2026-08-06,2026-07-31,2391590000.0,-1503000.0,377034000.0,176489000.0,597704000.0,1731817000.0,3674537000.0,81237415.0,49810721007.25,1134113000,50944834007.25,0.00756933431951572,0.00354319304019534,132.11201378987,282.231306241465,,-0.000628452201255232,0.339491146451308,5,5,6.42596989047476,13.5556455159521,129628000,5,146930000,partial,nonpositive_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001069183.json,https://hfdatalibrary.com/pages/data
